Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,FRUTO,SEVERIDAD (%),INCIDENCIA
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,0,0
