Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,PLANTA,FRUTO,SEVERIDAD (%),INCIDENCIA
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,8,0,0
